product_id,product_variant,nome_sku,volume_hectolitro,marca,descricao_sku,Classificação da Cerveja,Tamanho,Embalagem,Retornável,Origem ,Tipo de Cerveja,Teor alcoólico
11.435,11.065,Growler Goose Island Town Hall Lager 1L,"0,01",Goose Island,, ,,,,,,
8.973,8.607,Skol Ultra 275ml - Unidade,"0,00275",Skol,,,,,,,,
9.182,8.816,Kit da Boa 600ml + Copo Grátis | Vasilhame Incluso,"0,144",Antarctica,,,,,,,,
27.756,27.298,Petra 269ml,"0,00269",Petra,,,,,,,,
17.109,16.672,Skol Puro Malte 269ml - Pack de 30 unidades,"0,0807",Skol,,,,,,,,
11.716,11.346,Growler Chopp Antarctica 2L,"0,02",Antarctica,,,,,,,,
21.450,20.995,Cerveja Hocus Pocus Orange Sunshine Lata 350ml,0.0035,Hocus Pocus,"Estilo: Blonde Ale
ABV: 5%
IBU: 18

A Orange Sunshine é uma American Blonde Ale com laranja. É uma das cervejas mais leves que já criamos, bem fácil de beber mas aromática e com uma personalidade de cerveja extrema. A refrescância cítrica dos lúpulos e da laranja se equilibram para que cada gota só transmita sentimentos leves, e o teor alcoólico baixo de 5% permite que cada pessoa possa aproveitar milhares dessas gotas sem maiores preocupações.",,,,,,,
8.898,8.532,Polar Export 350ml - Pack com 12 Unidades,"0,042",Polar,,,,,,,,
9.070,8.704,Franziskaner Dunkel 500ml,"0,005",Franziskaner,"Estilo: Weizen Dunkel
IBU: 10
ABV: 5%

A Cerveja Franziskaner Hefe Weissbier Dunkel 500ml apresenta cor caramelo e aspecto opaco, com um sabor mais intenso de malte do que a variedade Hell, sendo encorpada e refrescante. Devido aos grãos de trigo torrados e adicionados no seu processo de produção, possui um sabor marcante e um pronunciado aroma torrado que agrada aos amantes de cerveja escura de todo o mundo.",,,,,,,
16.541,16.151,Combo 6 Skol 269ml + 2 Klos 269ml,"0,01614",Skol,,,,,,,,
9.666,9.299,Skol Hops 269ml - Pack com 8 Unidades,"0,02152",Skol,,,,,,,,
9.834,9.467,Skol Puro Malte 350ml - Unidade,"0,0035",Skol,,,,,,,,
10.248,9.870,Cerveja Corona Extra 330ml,"0,0033",Corona ,"A cerveja Corona, uma bebida nascida no México com sabor distinto e marca icônica, deixou uma marca indelével na indústria cervejeira. Desde seu começo modesto até sua ascensão meteórica como uma sensação global.",,,,,,,
10.812,10.442,Wäls Lagoinha 600ml,"0,006",Wäls,,,,,,,,
14.080,13.695,Cerveja American Blonde Ale Hocus Pocus Orange Sunshine 269ml,"0,00269",Hocus Pocus,"Estilo ou Família: Blond Ale com Laranja
Índice de Amargor (IBU): 18
Teor Alcoólico: 5,0%

A Orange Sunshine é uma American Blonde Ale com laranja. É uma das cervejas mais leves que já criamos, bem fácil de beber mas aromática e com uma personalidade de cerveja extrema. A refrescância cítrica dos lúpulos e da laranja se equilibram para que cada gota só transmita sentimentos leves, e o teor alcoólico baixo de 5% permite que cada pessoa possa aproveitar milhares dessas gotas sem maiores preocupações.",,,,,,,
21.848,21.393,"Combo Hocus Pocus Magic Trap, Orange Sunshine, Cadabra e Interstellar 500ml ",0,Hocus Pocus,,,,,,,,
8.896,8.530,Polar Export 269ml,"0,00269",Polar,,,,,,,,
9.117,8.751,Polar Export 600ml - Apenas o Líquido,"0,006",Polar,,,,,,,,
18.886,18.433,Polar Export 300ml | Apenas Líquido - Pack de 23 unidades,"0,069",Polar,,,,,,,,
13.571,13.201,Lohn Catharina Sour com Uva Goeth 355 ml,"0,00355",Lohn,"Estilo ou Família: Catharina Sour com Uva Goeth
Índice de Amargor (IBU): 5
Teor Alcoólico: 4%
",,,,,,,
13.573,13.203,Lohn Bier Hop Lager 600ml,"0,006",Lohn,"Estilo ou Família: Hop Lager
Índice de Amargor (IBU): 16
Teor Alcoólico: 4,2%

Esta Hop Lager é uma cerveja leve e refrescante, de baixa fermentação e baixo teor alcoólico. Seu sabor ganha corpo por sua expressiva presença de lúpulos no aroma e no paladar, tornando-se uma companhia perfeita para ser apreciada ao som da luz da natureza.",,,,,,,
15.830,15.445,Polar Puro Malte 350ml,"0,0035",Polar,,,,,,,,
8.900,8.534,Polar Export 355ml - Caixa com 6 Unidades,"0,0213",Polar,,,,,,,,
24.334,23.876,Amstel 473ml,"0,00473",Amstel,,,,,,,,
13.569,13.199,Lohn Catharina Sour com Café Framboesa 355ml,"0,00355",Lohn,"Estilo ou Família: Catharina Sour com Café Framboesa
Índice de Amargor (IBU): 5
Teor Alcoólico: 4%",,,,,,,
13.575,13.205,Lohn Pilsen Puro Malte 355ml,"0,00355",Lohn,"Estilo ou Família: Pilsen
Índice de Amargor (IBU): 11
Teor Alcoólico: 4,6%",,,,,,,
22.772,22.317,Spaten 355ml - Pack de 6 Unidades,"0,0213",Spaten,,,,,,,,
27.087,26.629,Barril Spaten 6L - exclusivo para Chopeiras PerfectDraft,"0,06",Spaten,"BARRIL ENTREGUE COM NO MÍNIMO 7 DIAS DE VALIDADE

Com PerfectDraft, você tem Chopp Spaten do jeito que você gosta, com espuma na medida e no conforto de sua casa. 
É só remover o lacre, engatar o barril na chopeira e esperar gelar!
Não tem uma chopeira PerfectDraft ainda? Basta acessar www.perfectdraft.com.br para saber mais e poder adquirir a sua!
Obs: barril é descartável e só pode ser utilizado combinado com a chopeira PerfectDraft. ",,,,,,,
16.653,16.263,Becks 330ml - Pack de 18 unidades,"0,0594",Beck's,,,,,,,,
14.836,14.451,Dom Hanks Session IPA 473ml,"0,00473",Dom Haus,"Estilo ou Família: Session IPA (India Pale Ale)
Índice de Amargor (IBU): 30
Teor Alcoólico: 4,1%

A Dom Hanks é uma Session IPA de corpo leve e com altíssimo drinkability. Produzidas com os lúpulos Amarillo, El Dorado e Citra que conferem à cerveja aroma e sabor marcantes de frutas amarelas e cítricas como Maracujá, Manga, Abacaxi e Laranja.",,,,,,,
18.345,17.892,Skol Puro Malte 300ml | Apenas o Líquido - Pack de 24 Unidades,"0,072",Skol,,,,,,,,
9.056,8.690,Leffe Blonde 330ml - Unidade,"0,0033",Leffe,"Estilo: Blonde Ale
IBU: 21
ABV: 6,6%

Com coloração dourada e sabor suave, a Leffe Blonde é uma Belgian Blond Ale seca, com maltes selecionados que proporcionam uma cerveja encorpada e turva. Apesar do sabor levemente adocicado e refrescante, é possível notar a presença marcante do lúpulo. Bolinhos de bacalhau ou uma salada Caesar harmonizam bem com uma Blonde.",,,,,,,
10.282,9.904,Wäls Session Citra 350ml,"0,0035",Wäls,,,,,,,,
10.679,10.309,Antarctica Subzero 600ml | Vasilhame Incluso,"0,006",Antarctica,,,,,,,,
10.814,10.444,Wäls Hop Corn 600ml,"0,006",Wäls,"Estilo: IPA
IBU: 70
ABV: 6,7%

Essa receita parece uma pipoca de lúpulos Columbus, Cascadde, Amarillo e dry hopping de Centennieal. Receita na qual erramos na mão e atingimos 70 IBU's. E utilizamos o polêmico milho na receita. Sinta a potência e equilíbrio da nossa Cerveja Wals HopCorn IPA 600ml com milho. Campeã Nacional com Medalha de Prata no Estilo Pale Beer IPA na WBA 2017.",,,,,,,
10.840,10.470,Growler Wäls Véu da Noiva 1L,"0,01",Wäls,,,,,,,,
20.201,19.746,3 Michelob Ultra 330ml + 1 Corona Cero Sunbrew 330ml Grátis,"0,01380",Corona ,,,,,,,,
8.870,8.504,Skol 350ml,"0,0035",Skol,,,,,,,,
8.974,8.608,Skol Ultra 275m - Caixa com 6 Unidades,"0,0165",Skol,,,,,,,,
9.174,8.808,Kit do Zé de Skol 300ml - 5% de desconto,"0,216",Skol,,,,,,,,
9.185,8.819,Kit da Boa 269ml + 1 Copo Grátis São João,"0,0807",Antarctica,,,,,,,,
9.102,8.736,Antarctica Pilsen 300ml | Apenas o Líquido. - 12 Unidades,"0,036",Antarctica,,,,,,,,
9.658,9.291,Skol Hops 600ml | Apenas o Líquido,"0,006",Skol,,,,,,,,
9.841,9.474,Skol Puro Malte 350ml - Pack com 12 Unidades,"0,042",Skol,,,,,,,,
17.092,16.655,Antarctica Pilsen 473ml - Pack de 30 unidades,"0,1419",Antarctica,,,,,,,,
20.203,19.748,3 Budweiser Zero 330ml + 1 Corona Cero Sunbrew 330ml Grátis,"0,01320",Corona ,,,,,,,,
15.996,15.611,Skol Puro Malte 350ml - Pack com 18 Unidades,"0,063",Skol,,,,,,,,
8.872,8.506,Skol 355ml - Unidade,"0,00355",Skol,,,,,,,,
9.062,8.696,Wäls Niobium 375ml,"0,00375",Wäls,,,,,,,,
9.120,8.754,Skol 1L | Vasilhame Incluso,"0,01",Skol,,,,,,,,
9.133,8.767,Antarctica Subzero 1L | Apenas o Líquido - 12 Unidades,"0,12",Antarctica,,,,,,,,
18.485,18.032,Skol 300ml | Apenas o Líquido - Pack de 6 Unidades,"0,018",Skol,,,,,,,,
21.710,21.255,Experiência Corona 330ml - Pack de 12 unidades com Limão,"0,0396",Corona ,"Pack com 12 Long Necks - 330ml de Corona + limão em saquinho reciclável para você aproveitar da maneira certa. O ritual completo de Corona em um só lugar! 

o Limão não é higienizado. O Limão vai inteiro. Imagem meramente ilustrativa.",,,,,,,
17.106,16.669,Skol 269ml - Pack de 30 unidades,"0,0807",Skol,,,,,,,,
11.120,10.750,"Growler Wäls Verano 1,89L","0,0189",Wäls,,,,,,,,
11.715,11.345,Growler Chopp Antarctica 1L,"0,01",Antarctica,,,,,,,,
10.835,10.465,Growler Wäls Petroleum Barrel Aged 1L,"0,01",Wäls,,,,,,,,
18.488,18.035,Skol Puro Malte 300ml | Apenas o Líquido - Pack de 6 Unidades,"0,018",Skol,,,,,,,,
19.512,19.059,Cerveja Corona Extra 330ml - Pack de 6 Unidades,"0,0198",Corona ,"A cerveja Corona, uma bebida nascida no México com sabor distinto e marca icônica, deixou uma marca indelével na indústria cervejeira. Desde seu começo modesto até sua ascensão meteórica como uma sensação global.",,,,,,,
20.740,20.285,Skol 300ml | Apenas o Líquido - Pack de 6 Unidades (Exp),"0,018",Skol,,,,,,,,
21.380,20.925,Toalha + 12 unidades de Corona Extra 330ml,"0,0396",Corona ,,,,,,,,
9.092,8.726,Skol 300ml | Vasilhame Incluso,"0,003",Skol,,,,,,,,
9.105,8.739,Skol 600ml | Vasilhame Incluso,"0,006",Skol,,,,,,,,
9.131,8.765,Antarctica Subzero 1L | Apenas o Líquido,"0,01",Antarctica,,,,,,,,
9.183,8.817,Kit da Boa 300ml + Copo Grátis | Apenas o Líquido,"0,072",Antarctica,,,,,,,,
9.504,9.138,Wäls Bohemian Pilsner 600ml,"0,006",Wäls,"Estilo: Bohemian Pilsner
IBU: 42
ABV: 5%

A espuma aveludada, os três tipos exóticos de lúpulo e fermento especial fazem da Cerveja Wals Bohemian Pilsner 600ml uma cerveja dourada que aguça o paladar. ",,,,,,,
10.256,9.878,Wäls Lager 473ml,"0,00473",Wäls,,,,,,,,
10.833,10.463,Growler Wäls George Little King 1L,"0,01",Wäls,,,,,,,,
9.066,8.700,X Wäls 600ml,"0,006",Wäls,,,,,,,,
9.119,8.753,Skol 1L | Apenas o Líquido,"0,01",Skol,,,,,,,,
9.122,8.756,Skol 1L | Vasilhame Incluso - 12 Unidades,"0,12",Skol,,,,,,,,
9.197,8.831,Kit do Zé de Skol Litrinho - 5% de desconto,"0,207",Skol,,,,,,,,
10.829,10.459,Growler Wäls Hop Corn 1L,"0,01",Wäls,,,,,,,,
9.844,9.477,Skol Puro Malte 600ml | Apenas o Líquido - 12 Unidades,"0,072",Skol,,,,,,,,
18.352,17.899,Skol 300ml | Vasilhame Incluso - Pack de 24 Unidades,"0,072",Skol,,,,,,,,
18.449,17.996,Corona Extra 330ml | Vasilhame Incluso,"0,0033",Corona ,"A cerveja Corona, uma bebida nascida no México com sabor distinto e marca icônica, deixou uma marca indelével na indústria cervejeira. Desde seu começo modesto até sua ascensão meteórica como uma sensação global.",,,,,,,
22.831,22.373,Skol 269ml - Pack de 6 Unidades,"0,01614",Skol,,,,,,,,
22.842,22.384,Skol 350ml - Pack de 6 Unidades,"0,021",Skol,,,,,,,,
11.539,11.169,Combo Antarctica + Biscoito Globo Salgado (6 Antarctica Pilsen 350ml + 3 Biscoito Globo),"0,021",Antarctica,,,,,,,,
9.843,9.476,Skol Puro Malte 300ml | Apenas o Líquido - 12 Unidades,"0,036",Skol,,,,,,,,
9.661,9.294,Skol Hops 269ml,"0,00269",Skol,,,,,,,,
9.838,9.471,Skol Puro Malte 1L | Apenas o Líquido - Unidade,"0,01",Skol,,,,,,,,
9.840,9.473,Skol Puro Malte 269ml - Pack com 15 Unidades,"0,04035",Skol,,,,,,,,
9.866,9.499,2 Packs Skol 269ml (30 unid.) + 1 Boné Skol Grátis,"0,0807",Skol,,,,,,,,
16.578,16.188,Klos 269ml,"0,00269",Skol,,,,,,,,
11.021,10.651,Wäls Niobium 600ml,"0,006",Wäls,,,,,,,,
11.728,11.358,Wäls Belgian Witte 300ml,"0,003",Wäls,,,,,,,,
18.450,17.997,Cerveja Corona Extra 330ml | Apenas Líquido,"0,0033",Corona ,"A cerveja Corona, uma bebida nascida no México com sabor distinto e marca icônica, deixou uma marca indelével na indústria cervejeira. Desde seu começo modesto até sua ascensão meteórica como uma sensação global.",,,,,,,
21.843,21.388,"Combo Hocus Pocus Orange Sunshine, Alma e Aura 500ml",0,Hocus Pocus,,,,,,,,
23.715,23.257,Cerveja Hocus Pocus Orange Sunshine 500ml - Pack com 3 unidades,"0,015",Hocus Pocus,,,,,,,,
9.836,9.469,Skol Puro Malte 300ml | Apenas o Líquido,"0,003",Skol,,,,,,,,
9.842,9.475,Skol Puro Malte 473ml - Pack com 12 Unidades,"0,05676",Skol,,,,,,,,
17.954,17.501,Cerveja American Blonde Ale Hocus Pocus Orange Sunshine 355ml,"0,00355",Hocus Pocus,"Estilo ou Família: Blond Ale com Laranja
Índice de Amargor (IBU): 18
Teor Alcoólico: 5,0%

A Orange Sunshine é uma American Blonde Ale com laranja. É uma das cervejas mais leves que já criamos, bem fácil de beber mas aromática e com uma personalidade de cerveja extrema. A refrescância cítrica dos lúpulos e da laranja se equilibram para que cada gota só transmita sentimentos leves, e o teor alcoólico baixo de 5% permite que cada pessoa possa aproveitar milhares dessas gotas sem maiores preocupações.",,,,,,,
11.057,10.687,Cerveja Belgian Strong Golden Ale Hocus Pocus Magic Trap 500ml,"0,005",Hocus Pocus,"Estilo ou Família: Belgian Strong Golden Ale
Índice de Amargor (IBU): 25
Teor Alcoólico: 8,5%

Magic Trap é o primeiro rótulo da Hocus Pocus, uma cerveja experimental mais frutada e mais forte que outras do mesmo estilo. Usa uma levedura Trapista a temperaturas que maximizam o aroma esterificado intenso de banana, o que acaba mascarando seu teor alcoólico elevado. Assim, ela passa a impressão de ser uma cerveja bem leve, enquanto esconde uma força que só se encontra nas belgas mais pesadas.",,,,,,,
21.849,21.394,"Combo Hocus Pocus Magic Trap, Orange Sunshine, Alma e Aura 500ml",0,Hocus Pocus,,,,,,,,
23.945,23.487,Cerveja Hocus Pocus Alma Long Neck 355ml - Pack 3 unidades,"0,01665",Hocus Pocus,,,,,,,,
