product_id,product_variant,nome_sku,volume_hectolitros,marca,tamanho,embalagem,retornavel,origem,teor_alcoolico,tipo,classificacao
11.435,11.065,Growler Goose Island Town Hall Lager 1L,0.01,Goose Island,1L,Vidro,Não,Importada,5% a 10%,Lager,Artesanais
8.973,8.607,Skol Ultra 275ml - Unidade,0.00275,Skol,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
9.182,8.816,Kit da Boa 600ml + Copo Grátis | Vasilhame Incluso,0.144,Antarctica,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
27.756,27.298,Petra 269ml,0.00269,Petra,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
17.109,16.672,Skol Puro Malte 269ml - Pack de 30 unidades,0.0807,Skol,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
11.716,11.346,Growler Chopp Antarctica 2L,0.02,Antarctica,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
21.450,20.995,Cerveja Hocus Pocus Orange Sunshine Lata 350ml,0.0035,Hocus Pocus,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
8.898,8.532,Polar Export 350ml - Pack com 12 Unidades,0.042,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
9.070,8.704,Franziskaner Dunkel 500ml,0.005,Franziskaner,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
16.541,16.151,Combo 6 Skol 269ml + 2 Klos 269ml,0.01614,Skol,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
9.666,9.299,Skol Hops 269ml - Pack com 8 Unidades,0.02152,Skol,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
9.834,9.467,Skol Puro Malte 350ml - Unidade,0.0035,Skol,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
10.248,9.870,Cerveja Corona Extra 330ml,0.0033,Corona,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
10.812,10.442,Wäls Lagoinha 600ml,0.006,Wäls,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
14.080,13.695,Cerveja American Blonde Ale Hocus Pocus Orange Sunshine 269ml,0.00269,Hocus Pocus,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
21.848,21.393,"Combo Hocus Pocus Magic Trap, Orange Sunshine, Cadabra e Interstellar 500ml ",0,Hocus Pocus,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
8.896,8.530,Polar Export 269ml,0.00269,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
9.117,8.751,Polar Export 600ml - Apenas o Líquido,0.006,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
18.886,18.433,Polar Export 300ml | Apenas Líquido - Pack de 23 unidades,0.069,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
13.571,13.201,Lohn Catharina Sour com Uva Goeth 355 ml,0.00355,Lohn,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
13.573,13.203,Lohn Bier Hop Lager 600ml,0.006,Lohn,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
15.830,15.445,Polar Puro Malte 350ml,0.0035,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
8.900,8.534,Polar Export 355ml - Caixa com 6 Unidades,0.0213,Polar,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
24.334,23.876,Amstel 473ml,0.00473,Amstel,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
13.569,13.199,Lohn Catharina Sour com Café Framboesa 355ml,0.00355,Lohn,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
13.575,13.205,Lohn Pilsen Puro Malte 355ml,0.00355,Lohn,210ml,Vidro,Sim,Nacional,até 5%,Pilsen,Populares
